mode,sweep,position,slot,engine,pair,variant,cost_ms_per_s,spread_percent
comparison,22,3,V1b,V1,whole-render,as-built,2.028544,0.1959
comparison,23,0,V2b,V2,voice-dsp,as-built,0.579761,0.6046
comparison,23,0,V2b,V2,voice-dsp,clause-5,0.582872,0.1317
comparison,23,0,V2b,V2,whole-render,as-built,0.595038,0.2417
comparison,23,1,V2a,V2,voice-dsp,as-built,0.582903,0.0443
comparison,23,1,V2a,V2,voice-dsp,clause-5,0.583473,0.0840
comparison,23,1,V2a,V2,whole-render,as-built,0.595075,0.2361
comparison,23,2,V1b,V1,voice-dsp,as-built,2.624224,0.2250
comparison,23,2,V1b,V1,whole-render,as-built,2.217012,0.2471
comparison,23,3,V1a,V1,voice-dsp,as-built,2.623665,0.3905
comparison,23,3,V1a,V1,whole-render,as-built,2.004120,10.5968
